 名称:烽禾影城(祈福新邨店)	连接:http://maoyan.com/cinema/2161?poi=110	地址：番禺区钟屏路钟福广场3层（祈福新村祈福医院旁）
名称:大地数字影院(大旺城店)	连接:http://maoyan.com/cinema/110?poi=153955	地址：增城区新塘镇东坑三横路东部义乌广场4楼（新塘中学对面）

名称:星城时代电影城(石基店)	连接:http://maoyan.com/cinema/13114?poi=4198783	地址：番禺区莲塘路石基城市广场2座4楼

名称:万众国际影城(南沙进港大道店)	连接:http://maoyan.com/cinema/7544?poi=493094	地址：南沙区进港大道华汇国际广场4楼（近南沙碧桂园）

名称:花都1958影院	连接:http://maoyan.com/cinema/202?poi=154999	地址：花都区新华路30号（近花都大酒店）（原花都数字电影城）

名称:星美国际影商城(花都店)	连接:http://maoyan.com/cinema/5917?poi=173152	地址：花都区凤凰北路与龙珠路39号来又来广场5楼星美国际影城（即大润发对面）

名称:时代凤凰国际影城	连接:http://maoyan.com/cinema/14672?poi=8092546	地址：增城区新塘镇汽车城大道71号东凌广场一楼

