 {'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京自如友家资产管理有限公司', '职位': 'PHP工程师'}
{'薪资': '35k-70k', '工作经验': '5-10年', '公司名称': '南京蓝鲸人网络科技有限公司', '职位': '高级PHP/GO工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '武汉鲨鱼网络直播技术有限公司北京分公司', '职位': 'PHP开发工程师'}
{'薪资': '12k-18k', '工作经验': '1-3年', '公司名称': '北京父母邦网络科技有限公司', '职位': 'PHP开发'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '赤子城网络技术（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京小帽科技有限公司', '职位': 'php开发'}
{'薪资': '18k-30k', '工作经验': '3-5年', '公司名称': '北京企名片科技有限公司', '职位': 'PHP工程师'}
{'薪资': '12k-23k', '工作经验': '3-5年', '公司名称': '深圳格莱珉文化传播有限公司广州分公司', '职位': '【北京】高级PHP工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '连尚（北京）网络科技有限公司', '职位': 'php开发工程师'}
{'薪资': '10k-15k', '工作经验': '1-3年', '公司名称': '北京玖承资产管理有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京轻松筹网络科技有限公司', '职位': 'PHP高级工程师'}
{'薪资': '36k-52k', '工作经验': '5-10年', '公司名称': '链家网（北京）科技有限公司', '职位': 'PHP架构开发/管理'}
{'薪资': '20K-25K', '工作经验': '5-10年', '公司名称': '万众金福(北京)科技有限公司', '职位': 'php开发工程师'}
{'薪资': '15k-25k', '工作经验': '不限', '公司名称': '百度在线网络技术（北京）有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '3k-5k', '工作经验': '应届毕业生', '公司名称': '北京金山云网络技术有限公司', '职位': 'PHP开发实习生'}
{'薪资': '15k-30k', '工作经验': '5-10年', '公司名称': '乐飞天下信息技术(北京)有限公司', '职位': 'PHP中级开发工程师'}
{'薪资': '20k-30k', '工作经验': '1-3年', '公司名称': '北京大生时代科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-50k', '工作经验': '5-10年', '公司名称': '上海谦问万答吧云计算科技有限公司', '职位': '资深PHP/架构师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '北京闪银奇异科技有限公司', '职位': 'PHP开发工程师(内推）'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京太合音乐文化发展有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '15k-25k', '工作经验': '5-10年', '公司名称': '华夏国鼎（北京）商贸有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '厦门美图之家科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '不限', '公司名称': '北京蜜柚时尚科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '新浪网技术（中国）有限公司', '职位': '财经客户端-php开发工程师'}
{'薪资': '14k-25k', '工作经验': '1-3年', '公司名称': '北京微创时代广告有限公司', '职位': 'PHP工程师'}
{'薪资': '12k-18k', '工作经验': '3-5年', '公司名称': '北京学了么科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '1-3年', '公司名称': '北京大生时代科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '14k-26k', '工作经验': '3-5年', '公司名称': '百度在线网络技术（北京）有限公司', '职位': 'php开发工程师'}
{'薪资': '15K-25K', '工作经验': '5-10年', '公司名称': '北京拓课网络科技有限公司', '职位': 'php工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京数字联盟网络科技有限公司', '职位': 'PHP高级工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '任子行网络技术股份有限公司', '职位': 'PHP开发（温阳路地铁站）--00396'}
{'薪资': '15k-30k', '工作经验': '1年以下', '公司名称': '微梦创科网络科技（中国）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-45k', '工作经验': '5-10年', '公司名称': '车好多旧机动车经纪(北京)有限公司', '职位': 'php工程师'}
{'薪资': '25k-40k', '工作经验': '5-10年', '公司名称': '北京自如友家资产管理有限公司', '职位': 'PHP架构师'}
{'薪资': '12k-20k', '工作经验': '3-5年', '公司名称': '北京课工场教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '9k-18k', '工作经验': '1-3年', '公司名称': '上海花千树信息科技有限公司北京分公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '不限', '公司名称': '新浪网技术（中国）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京安码科技有限公司', '职位': 'PHP'}
{'薪资': '20k-25k', '工作经验': '3-5年', '公司名称': '爱心天使文化传播(北京)有限公司', '职位': 'php开发工程师'}
{'薪资': '15k-20k', '工作经验': '1-3年', '公司名称': '北京乐学游文化发展有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '安一恒通（北京）科技有限公司', '职位': 'PHP工程师'}
{'薪资': '18k-35k', '工作经验': '3-5年', '公司名称': '北京阿拉丁未来科技有限责任公司', '职位': 'php工程师'}
{'薪资': '15k-26k', '工作经验': '3-5年', '公司名称': '北京闯易贷网联信息技术有限责任公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京阳光第一车网科技有限公司', '职位': 'php工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '北京醋溜网络科技股份有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '神州锐达（北京）科技有限公司', '职位': 'PHP工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京小黄人科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京极客创游科技有限公司', '职位': '高级PHP研发工程师'}
{'薪资': '25k-30k', '工作经验': '5-10年', '公司名称': '武汉斗鱼网络科技有限公司', '职位': '资深PHP开发工程师'}
{'薪资': '13k-26k', '工作经验': '1-3年', '公司名称': '北京十月逸栈科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '车好多旧机动车经纪(北京)有限公司', '职位': 'PHP开发工程师——金融技术'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '上海酷萌网络科技有限公司', '职位': 'Php开发工程师（海外）'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '深圳回收宝科技有限公司', '职位': 'PHP开发'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '微梦创科网络科技（中国）有限公司', '职位': 'PHP中高级开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京海天瑞声科技有限公司三河市燕郊分公司', '职位': 'PHP研发工程师'}
{'薪资': '18k-25k', '工作经验': '3-5年', '公司名称': '北京华图宏阳教育文化发展股份有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-35k', '工作经验': '5-10年', '公司名称': '冻冻（北京）网络科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京鲜生活电子商务有限公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-15k', '工作经验': '3-5年', '公司名称': '北京明创天成科技有限公司', '职位': 'PHP中级开发工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '趣分期（北京）信息技术有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '18k-36k', '工作经验': '1-3年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': 'PHP工程师/架构师-平台技术'}
{'薪资': '15k-30k', '工作经验': '5-10年', '公司名称': '深度加速（北京）科技有限公司', '职位': 'PHP工程师'}
{'薪资': '25k-45k', '工作经验': '3-5年', '公司名称': '北京琥珀创想科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '奇虎360科技有限公司', '职位': 'PHP开发工程师（导航事业部）'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京有路前行科技发展有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '百度在线网络技术（北京）有限公司', '职位': '商业化PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '海南蓝鲸数码科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-35k', '工作经验': '5-10年', '公司名称': '北京时尚人家网络科技有限公司', '职位': 'php高级工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '北京万维之道信息技术有限公司', '职位': '高级php开发工程师'}
{'薪资': '25k-35k', '工作经验': '3-5年', '公司名称': '凤凰飞扬（北京）新媒体信息技术有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '28k-32k', '工作经验': '3-5年', '公司名称': '北京史贝斯健身管理有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京善义善美科技有限公司', '职位': 'PHP工程师'}
{'薪资': '30k-50k', '工作经验': '5-10年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': '高级php工程师(J180712020)'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京阳光第一车网科技有限公司', '职位': 'PHP中级工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '北京小唱科技有限公司', '职位': 'PHP开发工程师/架构师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '安一恒通（北京）科技有限公司', '职位': 'php'}
{'薪资': '35k-55k', '工作经验': '5-10年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': 'PHP技术经理'}
{'薪资': '25k-45k', '工作经验': '3-5年', '公司名称': '北京蚂蜂窝网络科技有限公司', '职位': '高级PHP开发工程师（社区产品）'}
{'薪资': '10k-20k', '工作经验': '3-5年', '公司名称': '北京讯听网络技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '35k-50k', '工作经验': '5-10年', '公司名称': '北京奇艺世纪科技有限公司', '职位': '影业-资深PHP研发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京锐界科技有限公司', '职位': 'php开发工程师'}
{'薪资': '10k-20k', '工作经验': '3-5年', '公司名称': '贵阳动视云科技有限公司', '职位': 'PHP'}
{'薪资': '20k-30k', '工作经验': '1-3年', '公司名称': '北京地平线信息技术有限公司', '职位': 'PHP后端开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京百家互联科技有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京立达智胜科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京世纪好未来教育科技有限公司', '职位': '高级PHP开发工程师，快到碗里来'}
{'薪资': '28k-45k', '工作经验': '3-5年', '公司名称': '北京善义善美科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '10k-20k', '工作经验': '3-5年', '公司名称': '北京一猫汽车科技有限公司', '职位': 'PHP工程师'}
{'薪资': '10k-15k', '工作经验': '1-3年', '公司名称': '北京盖娅互娱网络科技股份有限公司', '职位': 'PHP工程师'}
{'薪资': '18k-25k', '工作经验': '3-5年', '公司名称': '优家开天客（北京）企业管理咨询有限责任公司', '职位': 'PHP高级开发工程师'}
{'薪资': '35k-55k', '工作经验': '5-10年', '公司名称': '四川深得信息技术有限公司', '职位': '资深PHP工程师'}
{'薪资': '25k-40k', '工作经验': '5-10年', '公司名称': '纳恩博（北京）科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '北京嘀嘀无限科技发展有限公司', '职位': '国际化资深PHP研发工程师(J180524011)'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京永信至诚科技股份有限公司', '职位': '高级PHP研发工程师'}
{'薪资': '16k-18k', '工作经验': '1-3年', '公司名称': '古点投资有限公司', '职位': 'PHP服务工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '小叶子（北京）科技有限公司', '职位': '高级PHP工程师'}
{'薪资': '5k-10k', '工作经验': '1-3年', '公司名称': '北京通达信科科技有限公司', '职位': 'PHP'}
{'薪资': '20k-28k', '工作经验': '3-5年', '公司名称': '北京缤歌网络科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '13k-26k', '工作经验': '应届毕业生', '公司名称': '小船出海教育科技（北京）有限公司', '职位': '2019校招-PHP研发工程师'}
{'薪资': '16k-32k', '工作经验': '3-5年', '公司名称': '北京钛氪新媒体科技有限公司', '职位': 'PHP/php开发工程师'}
{'薪资': '13k-26k', '工作经验': '1-3年', '公司名称': '北京善义善美科技有限公司', '职位': 'PHP'}
{'薪资': '10k-20k', '工作经验': '3-5年', '公司名称': '寰宇慧旅(北京)科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '阿基米米科技（北京）有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '珠海乐徽科技投资有限公司', '职位': 'PHP工程师'}
{'薪资': '17k-25k', '工作经验': '5-10年', '公司名称': '北京优思安科技有限公司', '职位': 'PHP高级工程师'}
{'薪资': '18k-36k', '工作经验': '3-5年', '公司名称': '北京三体云联科技有限公司', '职位': 'PHP'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京靠谱前程网络技术有限公司', '职位': '高级PHP开发'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '北京巨洲云科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '5-10年', '公司名称': '北京闲徕互娱网络科技有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '人民澳客传媒科技有限公司', '职位': 'PHP开发'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京昆尚文化传媒有限责任公司', '职位': '高级PHP工程师'}
{'薪资': '10k-15k', '工作经验': '5-10年', '公司名称': '峥嵘时代科技（北京）有限公司', '职位': '高级PHP软件工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '奇妙时代（北京）科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '50k-70k', '工作经验': '5-10年', '公司名称': '北京作业盒子科技有限公司', '职位': 'PHP技术总监'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '北京优友动量网络技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '时趣互动（北京）科技有限公司', '职位': 'PHP应用研发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京九州云动科技有限公司', '职位': 'PHP'}
{'薪资': '13k-18k', '工作经验': '3-5年', '公司名称': '北京闲时网络科技有限公司', '职位': '中级PHP开发工程师'}
{'薪资': '18k-25k', '工作经验': '3-5年', '公司名称': '优家开天客（北京）企业管理咨询有限责任公司', '职位': '高级PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '天脉聚源（北京）传媒科技有限公司', '职位': '高级PHP'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '奥琦玮信息科技（北京）有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': '高级PHP工程师'}
{'薪资': '18K-25K', '工作经验': '3-5年', '公司名称': '北京华录新媒信息技术有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '30k-40k', '工作经验': '3-5年', '公司名称': '北京白山耘科技有限公司', '职位': '云聚合php开发工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '趣分期（北京）信息技术有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京作业盒子科技有限公司', '职位': 'PHP后端工程师'}
{'薪资': '20k-25k', '工作经验': '5-10年', '公司名称': '北京点点未来教育科技有限公司', '职位': '高级php开发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '深圳秀豹科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '大特保商务信息咨询（上海）有限公司', '职位': '高级PHP工程师'}
{'薪资': '15k-20k', '工作经验': '5-10年', '公司名称': '广东雨林木风计算机科技有限公司北京分公司', '职位': 'PHP高级工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京一览科技有限公司', '职位': '高级php开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京清众教育科技有限公司', '职位': '高级PHP后台开发工程师'}
{'薪资': '25k-50k', '工作经验': '5-10年', '公司名称': '北京古城堡图书有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京分众直达科技有限公司', '职位': 'PHP高级工程师'}
{'薪资': '24k-31k', '工作经验': '5-10年', '公司名称': '高密永拓代理记帐有限公司', '职位': '高级php开发'}
{'薪资': '10k-18k', '工作经验': '1-3年', '公司名称': '北京柏木科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-25k', '工作经验': '3-5年', '公司名称': '北京久众长清科技有限公司', '职位': '高级PHP研发工程师'}
{'薪资': '10k-16k', '工作经验': '1-3年', '公司名称': '广州摩翼信息科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '大鱼快乐有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '微梦创科网络科技（中国）有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '纳什空间创业科技（北京）有限公司', '职位': '高级PHP工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '上海阿妙食品有限公司北京分公司', '职位': 'PHP高级开发工程师'}
{'薪资': '20k-38k', '工作经验': '5-10年', '公司名称': '玖富金科控股集团有限责任公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '不限', '公司名称': '百度在线网络技术（北京）有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '25k-50k', '工作经验': '5-10年', '公司名称': '紫梧桐（北京）资产管理有限公司', '职位': '高级php工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京大生时代科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '不限', '公司名称': '北京小米科技有限责任公司', '职位': '高级PHP开发工程师—— 【小米零售服务】'}
{'薪资': '25k-30k', '工作经验': '5-10年', '公司名称': '北京果粒科技有限公司', '职位': '高级php'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '人人行科技有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '思派（北京）网络科技有限公司', '职位': 'PHP高级工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京智慧图科技有限责任公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京博远科技有限公司', '职位': 'PHP高级工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京小号科技有限公司', '职位': 'PHP'}
{'薪资': '15k-30k', '工作经验': '不限', '公司名称': '北京区块节点科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '13k-26k', '工作经验': '3-5年', '公司名称': '科学技术文献出版社', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '盟主世纪（北京）科技有限公司', '职位': '高级PHP'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京异乡好居网络科技有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '北京康加科技有限公司', '职位': 'php开发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京猎户星空科技有限公司', '职位': 'php开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '江西小果科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京昆仑一房财富投资管理有限公司', '职位': '高级PHP工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京作业盒子科技有限公司', '职位': 'PHP后端工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京一猫汽车科技有限公司', '职位': 'PHP工程师'}
{'薪资': '10k-15k', '工作经验': '1-3年', '公司名称': '北京慧舟普度科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '10k-20k', '工作经验': '3-5年', '公司名称': '北界创想（北京）软件有限公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-20k', '工作经验': '5-10年', '公司名称': '北京医百科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '30k-50k', '工作经验': '5-10年', '公司名称': '紫梧桐（北京）资产管理有限公司', '职位': 'PHP高级工程师'}
{'薪资': '30k-40k', '工作经验': '3-5年', '公司名称': '北京微光果壳科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-35k', '工作经验': '3-5年', '公司名称': '拉扎斯网络科技（上海）有限公司', '职位': '资深PHP研发工程师'}
{'薪资': '20k-30k', '工作经验': '不限', '公司名称': '北京值得买科技股份有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '18k-30k', '工作经验': '3-5年', '公司名称': '人人行科技有限公司', '职位': 'PHP工程师'}
{'薪资': '15k-30k', '工作经验': '5-10年', '公司名称': 'CHOPE GROUP LIMITED', '职位': 'PHP高级开发工程师'}
{'薪资': '15k-30k', '工作经验': '应届毕业生', '公司名称': '北京数美时代科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '12k-16k', '工作经验': '1-3年', '公司名称': '北京七麦科技股份有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '1-3年', '公司名称': '百度在线网络技术（北京）有限公司', '职位': 'PHP后端研发工程师'}
{'薪资': '25k-40k', '工作经验': '5-10年', '公司名称': '天津珀森文化传播有限公司', '职位': '高级 PHP 开发工程师'}
{'薪资': '25k-50k', '工作经验': '5-10年', '公司名称': '北京中公教育科技股份有限公司', '职位': 'PHP研发经理'}
{'薪资': '20k-30k', '工作经验': '5-10年', '公司名称': '北京可酷科技有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '15k-25k', '工作经验': '5-10年', '公司名称': '北京宏图世展网络科技服务有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '25k-40k', '工作经验': '3-5年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'php高级开发工程师'}
{'薪资': '10k-20k', '工作经验': '3-5年', '公司名称': '北京嘉芸汇科技股份有限公司', '职位': 'PHP'}
{'薪资': '13k-16k', '工作经验': '3-5年', '公司名称': '北京环球友邻科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '16k-32k', '工作经验': '3-5年', '公司名称': '北京值得买科技股份有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '北京峰华领创科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-40k', '工作经验': '3-5年', '公司名称': '北京麒麟合盛科技有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京闪银奇异科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '25k-35k', '工作经验': '3-5年', '公司名称': '北京卓然互联科技有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '5k-10k', '工作经验': '1年以下', '公司名称': '北京九识佳科技有限公司', '职位': '应届或初级PHP'}
{'薪资': '25k-50k', '工作经验': '3-5年', '公司名称': '北京思维造物信息科技有限公司', '职位': 'PHP研发工程师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '北京青瓴教育科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '13k-20k', '工作经验': '3-5年', '公司名称': '北京浩游网讯科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京尚德在线教育科技有限公司', '职位': 'PHP工程师'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京悦活教育科技有限责任公司', '职位': 'PHP后端工程师'}
{'薪资': '10k-20k', '工作经验': '1-3年', '公司名称': '北京百家酷客科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '5-10年', '公司名称': '北京坤渔科技有限公司', '职位': '高级php工程师'}
{'薪资': '15k-25k', '工作经验': '3-5年', '公司名称': '北京智慧图科技有限责任公司', '职位': 'PHP开发工程师'}
{'薪资': '18k-25k', '工作经验': '3-5年', '公司名称': '上海花千树信息科技有限公司北京分公司', '职位': 'php高级工程师'}
{'薪资': '15k-28k', '工作经验': '1-3年', '公司名称': '小船出海教育科技（北京）有限公司', '职位': 'PHP高级研发工程师'}
{'薪资': '15k-30k', '工作经验': '1-3年', '公司名称': '赣州趣校园科技发展有限公司', '职位': 'PHP研发专家'}
{'薪资': '20k-30k', '工作经验': '3-5年', '公司名称': '北京大生时代科技有限公司', '职位': '高级PHP开发工程师'}
{'薪资': '17k-25k', '工作经验': '5-10年', '公司名称': '北京优思安科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15k-25k', '工作经验': '1-3年', '公司名称': '北京艾飞移动科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '10k-14k', '工作经验': '3-5年', '公司名称': '北京通力互联技术服务有限公司', '职位': 'PHP开发工程师（北京）'}
{'薪资': '4k-8k', '工作经验': '1年以下', '公司名称': '北京木屋时代科技有限公司', '职位': 'PHP实习工程师'}
{'薪资': '18k-30k', '工作经验': '不限', '公司名称': '武汉宝誉德电气有限公司', '职位': '高级php开发工程师'}
{'薪资': '15k-30k', '工作经验': '3-5年', '公司名称': '北京搜狐新媒体信息技术有限公司', '职位': 'PHP高级开发工程师'}
{'薪资': '15k-30k', '工作经验': '5-10年', '公司名称': '北京奇安信科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '20k-36k', '工作经验': '3-5年', '公司名称': '微梦创科网络科技（中国）有限公司', '职位': 'PHP开发工程师(中高级）'}
{'薪资': '15K-25K', '工作经验': '3-5年', '公司名称': '北京棕榈创想科技有限公司', '职位': 'PHP ／Python 后端研发工程师'}
{'薪资': '15k-30k', '工作经验': '不限', '公司名称': '时趣互动（北京）科技有限公司', '职位': 'PHP中高级工程师'}
{'薪资': '12k-24k', '工作经验': '1-3年', '公司名称': '北京善义善美科技有限公司', '职位': 'PHP'}
{'薪资': '8k-16k', '工作经验': '不限', '公司名称': '林琳网络数据科技（北京）有限责任公司', '职位': 'PHP工程师'}
{'薪资': '20k-40k', '工作经验': '不限', '公司名称': '北京口袋财富信息科技有限公司', '职位': 'PHP开发工程师'}
{'薪资': '15K-30K', '工作经验': '不限', '公司名称': '北京顺丰同城科技有限公司', '职位': 'PHP 研发工程师'}
{'薪资': '15k-20k', '工作经验': '3-5年', '公司名称': '广东雨林木风计算机科技有限公司北京分公司', '职位': 'PHP中级开发工程师'}
